Designator,Mid X,Mid Y,Layer,Rotation,Manufacturer Part Number,LCSC Part #,Assembly
C7,-5.000000,-16.000000,top,0,B32922C3104M189,C125429,through-hole
J1,-49.000000,0.000000,top,90,WJ500V-5.08-2P,C8465,through-hole
J2,51.425044,0.000000,top,90,TYPE-C-31-M-12,C165948,mixed
L1,40.500000,8.000000,top,270,PDMTAT068125-220MLU,C3011539,through-hole
LCM1,-22.936500,-16.063373,top,0,XRSQ1010-10mH-H,C5380257,through-hole
RV1,-34.000000,-25.500000,top,0,MOV-14D471K,C1527439,through-hole
TH1,-37.000000,-13.000000,top,0,MF72 5D9,C11277,through-hole
U1,-8.000000,11.000000,top,0,HLK-20M15C,C52746093,through-hole
